"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1830,1.790756,1830,0.006334,434.94749437896724,,,
1835,1.790493,1835,0.006386,437.3233936964451,,,
1840,1.79023,1840,0.006439,439.7546760101017,,,
1845,1.789966,1845,0.006492,442.1727806418415,,,
1850,1.789703,1850,0.006545,444.577814437734,,,
1855,1.789439,1855,0.006598,446.9698830918697,,,
1860,1.789176,1860,0.006651,449.3490911618433,,,
1865,1.788911,1865,0.006705,451.7829220872829,,,
1870,1.788647,1870,0.006759,454.2037378740837,,,
1875,1.788383,1875,0.006814,456.67866328663143,,,
1880,1.788119,1880,0.006869,459.140424202304,,,
1885,1.787854,1885,0.006924,461.58912537837085,,,
1890,1.78759,1890,0.006979,464.0248704635591,,,
1895,1.787324,1895,0.007034,466.4477620126777,,,
1900,1.787059,1900,0.00709,468.92404029371863,,,
1905,1.786794,1905,0.007147,471.4532849387139,,,
1910,1.786529,1910,0.007203,473.9034949488436,,,
1915,1.786263,1915,0.00726,476.4065308629117,,,
1920,1.785997,1920,0.007317,478.89653013159403,,,
1925,1.785731,1925,0.007374,481.3735943391405,,,
1930,1.785465,1930,0.007432,483.90293474568585,,,
1935,1.785198,1935,0.00749,486.4192036255825,,,
1940,1.784932,1940,0.007548,488.92250204733523,,,
1945,1.784665,1945,0.007607,491.4775386294614,,,
1950,1.784398,1950,0.007665,493.9550295336567,,,
1955,1.784131,1955,0.007725,496.5484040712257,,,
1960,1.783863,1960,0.007784,499.06443297026425,,,
1965,1.783595,1965,0.007844,501.63160864648023,,,
1970,1.783327,1970,0.007904,504.1857529740858,,,
1975,1.783059,1975,0.007964,506.72696492534914,,,
1980,1.782791,1980,0.008025,509.3188089910725,,,
1985,1.782522,1985,0.008086,511.8975959078502,,,
1990,1.782253,1990,0.008147,514.463424096403,,,
1995,1.781984,1995,0.008209,517.0793803171651,,,
2000,1.781715,2000,0.008271,519.6822567568237,,,
